Tabell 1
Variabelnavn;Visningstekst;Unik teknisk referanse;Mulige verdier;Felttype;Kodeverk;Kjernefelt;Identifiserbar;Gyldig fra og med skjemaversjon
Svardato_paarorendeskjema;Svardato pårørendeskjema;DateAnswered;;DateTime;;Nei;;13
BehandlingHoeflighetRespektMedfoelelse_2;1. Omtanke og omsorg fra intensivpersonalet? Den høflighet, respekt og medfølelse som ble vist ditt familiemedlem (pasienten);BehandlingHoeflighetRespektMedfoelelse_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
SymptomSmerte_2;a)  Hvor godt intensivpersonalet vurderte og behandlet ditt familiemedlems smerte;SymptomSmerte_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
SymptomPustebesvaer_2;b)  Hvor godt intensivpersonalet vurderte og behandlet ditt familiemedlems pustevanskeligheter;SymptomPustebesvaer_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
SymptomUro_2;c)  Hvor godt intensivpersonalet vurderte og behandlet ditt familiemedlems uro/agitasjon;SymptomUro_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
BehandlingBesvarerBeho_2v;3.  Vurdering av dine behov? Hvor godt intensivpersonalet viste interesse for dine behov;BehandlingBesvarerBehov_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
BehandlingBesvarerStoette_2;4. Følelsesmessig støtte? Hvor godt intensivpersonalet ga deg følelsesmessig støtte;BehandlingBesvarerStoette_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
BehandlingSamarbeid_2;5. Samordning av omsorg? Samarbeidet mellom alt intensivpersonale som tok hand om ditt familiemedlem;BehandlingSamarbeid_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
BehandlingBesvarerHoeflighetRespektMedfoelelse_2;6. Omtanke om omsorg: Den høflighet, respekt og omtanke som ble vist deg;BehandlingBesvarerHoeflighetRespektMedfoelelse_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
SykepleierOmsorg_2;7. Intensivsykepleieres ferdigheter og kompetanse: Hvor godt intensivsykepleiere ivaretok ditt familiemedlem;SykepleierOmsorg_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
SykepleierKommunikasjon_2;8. Hyppigheten av kommunikasjon med intensivsykepleierne: Hvor ofte intensivsykepleierne snakket med deg om tilstanden til ditt familiemedlem;SykepleierKommunikasjon_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
LegeBehandling_2;9. Ferdigheter og kompetanse blant intensivleger (Alle leger inkludert assistentleger og andre leger)? Hvor godt leger ivaretok ditt familiemedlem;LegeBehandling_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
AtmosfaerenPaaroerenderom_2;10. Hvor fornøyd er du med atmosfæren (stemningen) på venterommet?;AtmosfaerenPaaroerenderom_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
AtmosfaerenIntensivAvd_2;11. Hvor fornøyd er du med atmosfæren (stemningen) i intensivavdelingen?;AtmosfaerenIntensivAvd_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
OmfangetAvBehandlingen_2;12. Hvor fornøyd er du med din deltakelse i daglige legevisitter?;OmfangetAvBehandlingen_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
DeltagelseIOmsorg;13. Hvor fornøyd er du med din deltakelse i omsorgen for ditt kritisk syke familiemedlem?;DeltagelseIOmsorg;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
MengdenAvHelsetjenester;14. Noen mennesker ønsker at alt skal bli gjort for deres helseproblemer mens andre ønsker ikke at så mye skal gjøres. Hvor fornøyd er du med NIVÅET eller mengden av helsetjenester som ditt familiemedlem mottok i intensivavdelingen?;MengdenAvHelsetjenester;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
LegeInformasjonFrekvens_2;15. Hyppigheten av kommunikasjon med legene i intensivavdelingen? Hvor ofte legene snakket med deg om tilstanden til ditt familiemedlem;LegeInformasjonFrekvens_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
SvarPaaSpoersmaal_2;16. Tilgang på informasjon? Intensivpersonalets villighet til å svare på dine spørsmål;SvarPaaSpoersmaal_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
ForklaringForstaaelse_2;17. Forståelig informasjon? Hvor godt intensivpersonalet ga deg forklaringer som du forsto;ForklaringForstaaelse_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
InformasjonsAerlighet_2;18. Ærlig informasjon? Ærligheten i den informasjon som ble gitt deg om tilstanden til ditt familiemedlem;InformasjonsAerlighet_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
InformasjonOmForloep_2;19. Fullstendig informasjon? Hvor godt intensivpersonalet informerte deg om hva som hendte med ditt familiemedlem og hvorfor ting ble gjort;InformasjonOmForloep_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
InformasjonsOverensstemmelse_2;20. Samsvarende informasjon? Konsistensen i informasjonen som ble gitt deg om tilstanden til ditt familiemedlem (Fikk du en likelydende historie fra leger, sykepleiere, etc.);InformasjonsOverensstemmelse_2;-1 = Velg verdi, 1 = Totalt misfornøyd (1), 2 = Litt misfornøyd (2), 3 = For det meste fornøyd (3), 4 = Svært fornøyd (4), 5 = Totalt fornøyd (5), 6 = Ikke aktuelt;Enum;;Nei;Nei;14
